Package	Version	License	Distribution
Microsoft.NET.ILLink.Tasks	10.0.9	MIT	build-only
MinVer	7.0.0	Apache-2.0	build-only
OPCFoundation.NetStandard.Opc.Ua.Client	1.5.378.156	MIT	runtime
Terminal.Gui	2.4.5	MIT	runtime
BitFaster.Caching	2.6.0	MIT	runtime
ColorHelper	1.8.1	MIT	runtime
JetBrains.Annotations	2025.2.4	MIT	runtime
Markdig	1.1.3	BSD-2-Clause	runtime
Microsoft.Extensions.DependencyInjection	10.0.8	MIT	runtime
Microsoft.Extensions.DependencyInjection.Abstractions	10.0.8	MIT	runtime
Microsoft.Extensions.Logging	10.0.8	MIT	runtime
Microsoft.Extensions.Logging.Abstractions	10.0.8	MIT	runtime
Microsoft.Extensions.Options	10.0.8	MIT	runtime
Microsoft.Extensions.Primitives	10.0.8	MIT	runtime
Newtonsoft.Json	13.0.4	MIT	runtime
Onigwrap	1.0.11	MIT AND BSD-style-Oniguruma	runtime
OPCFoundation.NetStandard.Opc.Ua.Configuration	1.5.378.156	MIT	runtime
OPCFoundation.NetStandard.Opc.Ua.Core	1.5.378.156	MIT	runtime
OPCFoundation.NetStandard.Opc.Ua.Security.Certificates	1.5.378.156	MIT	runtime
OPCFoundation.NetStandard.Opc.Ua.Types	1.5.378.156	MIT	runtime
System.IO.Abstractions	22.1.1	MIT	runtime
TestableIO.System.IO.Abstractions	22.1.1	MIT	runtime
TestableIO.System.IO.Abstractions.Wrappers	22.1.1	MIT	runtime
Testably.Abstractions.FileSystem.Interface	10.1.0	MIT	runtime
TextMateSharp	2.0.4	MIT	runtime
TextMateSharp.Grammars	2.0.4	MIT	runtime
Wcwidth	4.0.1	MIT	runtime
